Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2013-01-31,3,,,8.986193594880723,9.118881551756663,
2013-02-28,8,,,8.986193594880723,9.118881551756663,
2013-03-31,6,,,8.986193594880723,9.118881551756663,
2013-04-30,3,,,8.986193594880723,9.118881551756663,
2013-05-31,6,,,8.986193594880723,9.118881551756663,
2013-06-30,8,,,8.986193594880723,9.118881551756663,
2013-07-31,8,,,8.986193594880723,9.118881551756663,
2013-08-31,10,,,8.986193594880723,9.118881551756663,
2013-09-30,12,,,8.986193594880723,9.118881551756663,
2013-10-31,12,7.6,4.4,8.986193594880723,9.118881551756663,
2013-11-30,15,8.8,6.199999999999999,8.986193594880723,9.118881551756663,
2013-12-31,12,9.2,2.8000000000000007,8.986193594880723,9.118881551756663,
2014-01-31,11,9.7,1.3000000000000007,8.986193594880723,9.118881551756663,
2014-02-28,13,10.7,2.3000000000000007,8.986193594880723,9.118881551756663,
2014-03-31,17,11.8,5.199999999999999,8.986193594880723,9.118881551756663,
2014-04-30,20,13.0,7.0,8.986193594880723,9.118881551756663,
2014-05-31,12,13.4,-1.4000000000000004,8.986193594880723,9.118881551756663,
2014-06-30,11,13.5,-2.5,8.986193594880723,9.118881551756663,
2014-07-31,29,15.2,13.8,8.986193594880723,4.6479266584383865,29.0
2014-08-31,39,17.9,21.1,8.986193594880723,7.163146422255144,39.0
2014-09-30,26,19.0,7.0,8.986193594880723,7.1752971289619,
2014-10-31,24,20.2,3.8000000000000007,8.986193594880723,7.137880170844375,
2014-11-30,26,21.7,4.300000000000001,8.986193594880723,6.99113724654294,
2014-12-31,45,24.9,20.1,8.986193594880723,8.104758547366547,45.0
2015-01-31,19,25.1,-6.100000000000001,8.986193594880723,9.224177168964419,
2015-02-28,23,25.4,-2.3999999999999986,8.986193594880723,9.660003450655008,
2015-03-31,9,25.1,-16.1,8.986193594880723,11.762085982795172,
2015-04-30,9,24.9,-15.899999999999999,8.986193594880723,13.287270432844947,
2015-05-31,14,23.4,-9.399999999999999,8.986193594880723,13.209441068165349,
2015-06-30,9,20.4,-11.399999999999999,8.986193594880723,11.504245593113295,
2015-07-31,16,19.4,-3.3999999999999986,8.986193594880723,10.997903840682044,
2015-08-31,38,20.8,17.2,8.986193594880723,12.692294250187132,
2015-09-30,31,21.3,9.7,8.986193594880723,13.11267834324221,
2015-10-31,33,20.1,12.899999999999999,8.986193594880723,11.922010456853881,
2015-11-30,34,21.6,12.399999999999999,8.986193594880723,12.708981950660805,
2015-12-31,31,22.4,8.600000000000001,8.986193594880723,13.012148170075529,
2016-01-31,18,23.3,-5.300000000000001,8.986193594880723,11.884275324983006,
2016-02-29,10,23.4,-13.399999999999999,8.986193594880723,11.49661302780567,
2016-03-31,17,23.7,-6.699999999999999,8.986193594880723,11.233303659703633,
2016-04-30,12,24.0,-12.0,8.986193594880723,11.314494145907616,
2016-05-31,11,23.5,-12.5,8.986193594880723,12.133374542054561,
2016-06-30,18,21.5,-3.5,8.986193594880723,10.76855504595569,
2016-07-31,26,21.0,5.0,8.986193594880723,10.344859163425623,
2016-08-31,32,20.9,11.100000000000001,8.986193594880723,10.079688046319246,
2016-09-30,11,18.6,-7.600000000000001,8.986193594880723,8.901941111665229,
2016-10-31,7,16.2,-9.2,8.986193594880723,7.908989259767086,
2016-11-30,11,15.5,-4.5,8.986193594880723,7.914269812602214,
2016-12-31,19,16.4,2.6000000000000014,8.986193594880723,7.716367884784482,
2017-01-31,9,15.6,-6.6,8.986193594880723,7.712154908541019,
2017-02-28,14,15.8,-1.8000000000000007,8.986193594880723,7.149358945621162,
2017-03-31,14,16.1,-2.1000000000000014,8.986193594880723,6.267411303277011,
2017-04-30,14,15.7,-1.6999999999999993,8.986193594880723,6.234456226844844,
2017-05-31,21,15.2,5.800000000000001,8.986193594880723,6.331227720153845,
2017-06-30,10,13.0,-3.0,8.986193594880723,4.5605677034529135,
2017-07-31,30,14.9,15.1,8.986193594880723,6.940092858808799,30.0
2017-08-31,29,17.1,11.899999999999999,8.986193594880723,7.216655119313317,
2017-09-30,8,16.8,-8.8,8.986193594880723,7.728475485717306,
2017-10-31,10,15.9,-5.9,8.986193594880723,8.012275304528394,
2017-11-30,14,16.4,-2.3999999999999986,8.986193594880723,7.71556147593219,
2017-12-31,24,17.4,6.600000000000001,8.986193594880723,7.867690611326527,
2018-01-31,27,18.7,8.3,8.986193594880723,8.017543264616663,
2018-02-28,25,19.8,5.199999999999999,8.986193594880723,7.903416982546221,
2018-03-31,19,19.6,-0.6000000000000014,8.986193594880723,7.935741931287837,
2018-04-30,15,20.1,-5.100000000000001,8.986193594880723,8.127053586632735,
2018-05-31,17,18.8,-1.8000000000000007,8.986193594880723,6.857631596339302,
